index,名称,课头号,老师,学分,时间
1,操作系统,20202021645,陈珉,5.5,1,13
2,操作系统,20202021647,宋伟,5.5,1,13
3,操作系统,20202021646,曾平,5.5,1,13
4,操作系统,20202021648,李蓉蓉,5.5,11,3
5,操作系统,20202021649,蒋晶珏,5.5,1,13
6,操作系统,20202021692,郑鹏,5.5,1,13
7,操作系统,20202021767,郑鹏,5.5,11,3
8,操作系统,20202021768,宋伟,5.5,1,13
9,操作系统,20202021770,蒋晶珏,5.5,11,3
10,操作系统,20202021769,李蓉蓉,5.5,32,23
11,操作系统,20202021819,曾平,5.5,32,23
12,操作系统,20202021797,孔若杉,5.5,32,23
13,操作系统课程设计,20202021748,宋伟,5.5,5,20,41
14,操作系统课程设计,20202021747,蒋晶珏,5.5,5,20,41
15,操作系统课程设计,20202021749,李蓉蓉,5.5,5,20,41
16,操作系统课程设计,20202021750,蒋晶珏,5.5,5,20,41
17,操作系统课程设计,20202021817,曾平,5.5,5,20,41
18,汉语综合Ⅳ,20202054050,罗曦,2,51
19,机器学习与模式识别,20202021695,梁超,3,55
20,计算机接口与通信,20202021668,熊小兵,3,21
21,计算机接口与通信,20202021697,蔡朝晖,3,23
22,计算机接口与通信,20202021823,傅佑铭,3,26
23,计算机图形学,20202021591,何发智,3,10
24,计算机网络,20202021655, 张沪寅,5,17,29
25,计算机网络,20202021658,吕慧,5,17,29
26,计算机网络,20202021656,牛晓光,5,17,29
27,计算机网络,20202021657,徐武平,5,17,29
28,计算机网络,20202021659,胡启平,5,19,27
29,计算机网络,20202021591,黄传河,5,19,27
30,计算机网络,20202021693,张健,5,19,27
31,计算机网络,20202021759,傅佑铭,5,19,27
32,计算机网络,20202021759,钱铁云,5,17,29
33,计算机网络,20202021762,胡继承,5,19,27
34,计算机网络,20202021761,周浩,5,19,27
35,计算机网络,20202021820,李宗鹏,5,17,29
36,计算机网络,20202021800,李宗鹏,5,19,27
37,计算机系统基础2,20202021592,蔡朝晖,5,30
38,计算机组成与设计课程设计,20202021652, 徐爱萍,6,12,56
39,计算机组成与设计课程设计,20202021653,蔡朝晖,6,12,56
40,计算机组成与设计课程设计,20202021650,徐爱萍,6,12,56
41,计算机组成与设计课程设计,20202021654,冯晶,6,55,36
42,计算机组成与设计课程设计,20202021651,徐爱萍,6,55,36
43,计算机组成与设计课程设计,20202021691,龚奕利,6,55,36
44,科技写作,20202021696,刘华俊,3,5,15,51
45,量子计算,20202021596,梁超,2,25,40,58
46,人工智能引论,20202021798,谢榕,2,49,53
47,软件工程概论,20202021758,杜卓敏,2,6
48,软件工程概论,20202021757,马于涛,2,6
49,软件工程概论,20202021756,李晓剑,2,6
50,软件工程概论,20202021755,李小红,2,6
51,软件工程概论,20202021818,邓娟,2,6
52,软件构造基础,20202021676,何政,2.5,9
53,软件构造基础,20202021674,何政,2.5,9
54,软件构造基础,20202021675,何政,2.5,16
55,软件构造基础,20202021699,贾向阳,2.5,9
56,软件构造基础,20202021781,叶刚,2.5,16
57,软件构造基础,20202021780,贾向阳,2.5,16
58,软件构造基础,20202021779,贾向阳,2.5,9
59,软件构造基础,20202021825,叶刚,2.5,16
59,软件体系结构,20202021801,梁鹏,2.5,18
61,软件需求与建模,20202021752,王?,2.5,27
62,软件需求与建模,20202021753,李晓剑,2.5,27
63,软件需求与建模,20202021754,李晓剑,2.5,27
64,软件需求与建模,20202021821,李晓剑,2.5,27
65,软件需求与建模,20202021799,王?,2.5,27
66,数据库系统,20202021659,刘斌,3,34
67,数据库系统,20202021664,谭小琼,3,34
68,数据库系统,20202021663,安扬,3,34
69,数据库系统,20202021661,曾慧,3,34
70,数据库系统,20202021662,方颖,3,4
71,数据库系统,20202021694,李文海,3,4
72,数据库系统,20202021766,谭小琼,3,4
73,数据库系统,20202021765,刘斌,3,14
74,数据库系统,20202021764,余伟,3,14
75,数据库系统,20202021822,彭煜玮,3,14
76,算法设计与分析,20202021593,董文永,3,26
77,移动编程技术,20202021673,高建华,3,21
78,移动编程技术,20202021672,蒋华,3,21
79,移动编程技术,20202021671,蒋华,3,31
80,移动编程技术,20202021698,赵小刚,3,31
81,移动编程技术,20202021783,高建华,3,21
82,移动编程技术,20202021784,高建华,3,21
83,移动编程技术,20202021824,赵小刚,3,31
84,组合数学,20202021666,丁建利,3,17,34
85,组合数学,20202021665,丁建利,3,17,34
86,组合数学,20202021700,刘敏忠,3,17,34
87,组合数学,20202021777,邹华,3,14,37
88,组合数学,20202021776,姚昱,3,17,34
89,组合数学,20202021775,姚昱,3,14,37
90,组合数学,20202021778,邹华,3,14,36
91,组合数学,20202021826,刘敏忠,3,14,37
92,离散数学,20202021716,吴志健,3,19
93,离散数学,20202021717,方颖,3,16
94,离散数学,20202021718,刘峰,3,19
95,离散数学,20202021719,喻丹丹,3,19
96,离散数学,20202021720,罗飞,3,19
97,离散数学,20202021417,彭蓉,3,16
98,线性代数B,20202056347,龚亚方,3,41
99,线性代数B,20202056348,雷玲,3,43
